,Aerospace & Aviation,Agriculture,Automobile / Autocomponents,Banking / Insurance & Finance,Beauty & Wellness Industry,Building & Construction,Building / Hardware & Home Furnishings,Chemicals & Pharmaceuticals,Commerce or Humanities Stream,Defense & Military,Designing & Art,Education / Skill Development,Electronics & Hardware,Emergency Services,Engineering & Technology,Exams and Syllabus,Food Processing,Gems & Jewellery,Handlooms & Handicrafts,Healthcare,Humanistic Studies,Information Technology / Software,Institutes in India,ITES / BPO,Law & Order,Leather & Leather Goods,Management & Marketing,Media / Entertainment & Animation,Organised Retail,Psychometric Career Test,Public Admin & Government,Real Estate,Science & Research,Sports,Study Abroad,Telecom,Textiles & Garments,Tourism / Hospitality & Travel,Transportation/Logistics/Warehousing & Packaging,some error occured
33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Oil Technologists,JIPMER,-,-,-,Sterile Supply Department (CSSD) Assistant,-,-,School of Law-GITAM University Visakhapatnam,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Metallurgical Engineer,Nift,-,-,-,Laboratory Assistant/Technician,-,-,University of Jammu Jammu,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Plastic Technologists,Dat,-,-,-,Radiology Technician,-,-,Gulbarga University Gulbarga,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Production Engineer,pearl,-,-,-,Operation Theatre (OT) Technician,-,-,Central India College of Law Nagpur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Textile Engineer,Delhi-University,-,-,-,Optometrist,-,-,Dayanand College Of Law Latur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Production & Industrial Engineer,Christ-University,-,-,-,Medical,-,-,KLE Society's BV Bellad Law College Belgaum,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Paint Technologists,Jai-Hind-College-Mumbai,-,-,-,Biochemist,-,-,BS Anangpuria Institute of Law Faridabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Robotics Engineer,Xaviers-University,-,-,-,Acupuncturist,-,-,Karnataka State Law University Hubli,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sales Engineer,npat,-,-,-,Anesthesiologist,-,-,Kakatiya University Warangal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Nuclear Engineer,ucbs,-,-,-,Dermatologist,-,-,ICFAI Foundation for Higher Education Hyderabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ceramic Engineer,JMIEE,-,-,-,Fitness Trainer,-,-,NSS Law College Kottiyam,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Polymer Engineer,BUMAT,-,-,-,Health Educators,-,-,Faculty of Law-University of Delhi Delhi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Optical Engineer,BHMCT,-,-,-,Neurologist,-,-,Apeejay Stya University Sohna,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Pulp and Paper Engineer,SNUSAT,-,-,-,Nursing Assistant,-,-,G.J. Advani Law College Mumbai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,iicd,-,-,-,Obstetrician and Gynecologist,-,-,Dr CV Raman University Bilaspur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Occupational Therapist,-,-,ICFAI University Tripura,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ophthalmologist,-,-,Himgiri Zee University Dehradun,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Pathologist,-,-,National Law Institute University Bhopal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Radiation Therapist,-,-,Swami Dayal Bhatnagar Law College Sikandrabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Fakir Mohan University Balasore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Maharaja Ganga Singh University Bikaner,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Rajiv Gandhi Institute of Law Kakinada,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sri Krishnadevaraya University Anantapur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,University Institute of Legal Studies-Panjab University Chandigarh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CSI College for Legal Studies Kanakkary,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Geeta Institute of Law Panipat,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MS Ramaiah College of Law Bangalore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,University of Kota Kota,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
61,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Manair College of Law Khammam,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
62,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Auro University Surat,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NALSAR University of Law Hyderabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NVP Law College Visakhapatnam,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Glocal University Saharanpur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
66,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Monad University Hapur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Bangalore Institute of Legal Studies Bangalore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Department of Laws-Panjab University Chandigarh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
69,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Manikchand Pahade Law College Aurangabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,National University of Advanced Legal Studies Kochi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SNDT Womens University Mumbai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vivek College Bijnor,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Lovely Professional University Phagwara,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
74,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Jagannath University Jaipur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MATS University Raipur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
76,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,University of Allahabad Allahabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
77,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Banasthali University Banasthali,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,BN Law College Udaipur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
79,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,IMS Law College Noida,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Alakh Prakash Goyal Shimla University Shimla,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
81,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,BLS Institute of Technology Management Bahadurgarh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
82,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,JECRC University Jaipur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
83,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Chotanagpur Law College Ranchi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
84,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ismailsaheb Mulla Law College Satara,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Shridhar University Pilani,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Chanakya National Law University Patna,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
87,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KLE Society's Gurusiddappa Kotambri Law College Hubli,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
88,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MATS Law School Raipur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sultan Ul Uloom College of Law Banjara Hills,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Maharashtra National Law University Mumbai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
